ANDAR,CORREDOR,SKU,PECAS
0,14,SKU_17109,222
0,14,SKU_17219,756
0,14,SKU_19374,140
0,14,SKU_164,1
0,14,SKU_17221,61
0,14,SKU_17115,50
0,14,SKU_20587,10
0,14,SKU_3413,4
0,15,SKU_19335,10
0,15,SKU_19422,45
0,15,SKU_185,158
0,15,SKU_19469,51
0,15,SKU_19230,96
0,15,SKU_71,31
0,15,SKU_3026,18
0,15,SKU_13056,176
0,15,SKU_14,197
0,15,SKU_17277,40
0,15,SKU_19835,66
0,15,SKU_995,65
0,15,SKU_3459,13
0,15,SKU_824,74
0,15,SKU_17688,37
0,15,SKU_17690,123
0,15,SKU_3533,11
0,15,SKU_3545,32
0,15,SKU_3546,129
0,15,SKU_3536,51
0,15,SKU_3537,1
0,15,SKU_849,41
0,15,SKU_19748,50
0,16,SKU_13065,129
0,16,SKU_17045,47
0,16,SKU_17025,37
0,16,SKU_17028,158
0,16,SKU_17067,15
0,16,SKU_17090,574
0,16,SKU_17037,45
0,16,SKU_18030,63
0,16,SKU_18137,98
0,16,SKU_17040,23
0,16,SKU_17108,15
0,16,SKU_17194,71
0,16,SKU_17109,88
0,16,SKU_17219,142
0,16,SKU_17111,225
0,16,SKU_17915,76
0,16,SKU_17264,237
0,16,SKU_20587,10
0,16,SKU_2735,1
0,16,SKU_19978,107
0,17,SKU_13075,60
0,17,SKU_19435,1
0,17,SKU_13282,89
0,17,SKU_19230,96
0,17,SKU_62,25
0,17,SKU_64,40
0,17,SKU_901,77
0,17,SKU_19551,84
0,17,SKU_19595,9
0,17,SKU_19722,54
0,17,SKU_17160,95
0,17,SKU_3452,32
0,17,SKU_3536,118
0,17,SKU_19647,67
0,17,SKU_19750,169
0,18,SKU_13065,1
0,18,SKU_17045,1
0,18,SKU_18074,239
0,18,SKU_19422,39
0,18,SKU_17148,313
0,18,SKU_17028,69
0,18,SKU_17090,490
0,18,SKU_17037,61
0,18,SKU_18097,100
0,18,SKU_17219,205
0,18,SKU_17264,107
0,18,SKU_5563,38
0,19,SKU_19335,351
0,19,SKU_19452,50
0,19,SKU_19338,1
0,19,SKU_20009,18
0,19,SKU_19469,397
0,19,SKU_19474,54
0,19,SKU_19435,133
0,19,SKU_3137,118
0,19,SKU_13055,70
0,19,SKU_685,407
0,19,SKU_17188,194
0,19,SKU_17095,49
0,19,SKU_967,39
0,19,SKU_17237,135
0,19,SKU_19752,78
0,20,SKU_19489,1
0,20,SKU_17053,49
0,20,SKU_19342,74
0,20,SKU_19421,1
0,20,SKU_17028,1
0,20,SKU_17067,60
0,20,SKU_17090,628
0,20,SKU_17035,371
0,20,SKU_17093,57
0,20,SKU_18030,54
0,20,SKU_18137,249
0,20,SKU_17109,99
0,20,SKU_17219,66
0,20,SKU_17264,33
0,20,SKU_14008,8
0,20,SKU_17221,1
0,21,SKU_19335,61
0,21,SKU_13075,17
0,21,SKU_21824,3
0,21,SKU_627,160
0,21,SKU_4997,6
0,21,SKU_19610,162
0,21,SKU_62,14
0,21,SKU_861,90
0,21,SKU_7138,8
0,21,SKU_3137,38
0,21,SKU_19720,28
0,21,SKU_685,444
0,21,SKU_17188,45
0,21,SKU_9212,5
0,21,SKU_781,68
0,21,SKU_5259,92
0,21,SKU_909,42
0,21,SKU_967,216
0,21,SKU_13009,41
0,21,SKU_17238,211
0,21,SKU_17239,62
0,21,SKU_17305,30
0,21,SKU_3452,125
0,21,SKU_822,89
0,21,SKU_824,84
0,21,SKU_867,141
0,21,SKU_19648,98
0,21,SKU_19749,184
0,21,SKU_19751,137
0,21,SKU_19752,139
0,21,SKU_19977,146
0,22,SKU_17045,257
0,22,SKU_17046,66
0,22,SKU_19489,1
0,22,SKU_19454,133
0,22,SKU_17027,68
0,22,SKU_17028,113
0,22,SKU_17067,60
0,22,SKU_17090,114
0,22,SKU_17071,292
0,22,SKU_17035,1
0,22,SKU_17093,144
0,22,SKU_17037,101
