2025-01-14 21:20:39,379 ERROR:A classe CLASSE_ONDA_1 excede o limite de 6000 peças. Necessário subdividir.
2025-01-14 21:20:45,228 ERROR:Não foi possível encontrar um único corredor para caixa 6314.
2025-01-14 21:20:45,229 ERROR:Não foi possível encontrar um único corredor para caixa 6315.
2025-01-14 21:20:45,229 ERROR:Não foi possível encontrar um único corredor para caixa 6316.
2025-01-14 21:20:45,229 ERROR:Não foi possível encontrar um único corredor para caixa 6317.
2025-01-14 21:20:45,230 ERROR:Não foi possível encontrar um único corredor para caixa 6319.
2025-01-14 21:20:45,230 ERROR:Não foi possível encontrar um único corredor para caixa 6323.
2025-01-14 21:20:45,230 ERROR:Não foi possível encontrar um único corredor para caixa 6324.
2025-01-14 21:20:47,551 ERROR:Não foi possível encontrar um único corredor para caixa 6632.
2025-01-14 21:24:54,543 ERROR:Não foi possível encontrar corredor único para caixa 6314
2025-01-14 21:24:54,545 ERROR:Não foi possível encontrar corredor único para caixa 6315
2025-01-14 21:24:54,545 ERROR:Não foi possível encontrar corredor único para caixa 6316
2025-01-14 21:24:54,545 ERROR:Não foi possível encontrar corredor único para caixa 6317
2025-01-14 21:24:54,545 ERROR:Não foi possível encontrar corredor único para caixa 6319
2025-01-14 21:24:54,545 ERROR:Não foi possível encontrar corredor único para caixa 6323
2025-01-14 21:24:54,546 ERROR:Não foi possível encontrar corredor único para caixa 6324
2025-01-14 21:24:56,752 ERROR:Não foi possível encontrar corredor único para caixa 6632
2025-01-14 21:26:13,419 ERROR:Caixa 249 não pôde ser totalmente atendida (multi-corridor).
2025-01-14 21:32:15,860 ERROR:Não foi possível encontrar corredor único para caixa 6632
2025-01-14 21:32:30,254 ERROR:Caixa 5247 não pôde ser totalmente atendida (multi-corridor).
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21541, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21542, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21543, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21544, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21545, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21547, rest=2, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21548, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21549, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21550, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21551, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21552, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21553, rest=1, caixa=3514
2025-01-14 21:49:06,482 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_21554, rest=2, caixa=3514
2025-01-14 21:50:05,180 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_157, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_159, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_160, rest=2, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_162, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_163, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_165, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_166, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_167, rest=6, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_168, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_169, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_170, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_171, rest=1, caixa=249
2025-01-14 21:50:05,182 ERROR:[Fallback] Estoque insuficiente pro SKU=SKU_172, rest=1, caixa=249
