         6515894713 function calls (6356657814 primitive calls) in 1951.075 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 12304745   26.859    0.000   71.323    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/common.py:1596(pandas_dtype)
 53242951   32.819    0.000   65.431    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:6301(__setattr__)
  8147300    6.289    0.000   63.498    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:6394(_should_compare)
 12100847   24.065    0.000   60.428    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/common.py:231(asarray_tuplesafe)
268413133   40.290    0.000   58.334    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/generic.py:37(_check)
 12192130    9.040    0.000   54.999    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:59(take_nd)
 12258708   13.780    0.000   48.286    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1863(from_array)
  4027485    1.654    0.000   44.398    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/groupby/ops.py:607(get_iterator)
 12192130   27.719    0.000   43.787    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/array_algos/take.py:120(_take_nd_ndarray)
 20492899   29.524    0.000   42.486    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:6236(__finalize__)
 12097631   10.258    0.000   42.307    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:287(get_dtypes)
 48448635   19.600    0.000   42.040    0.000 {built-in method builtins.any}
  4027485    2.388    0.000   40.926    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/groupby/ops.py:1149(__iter__)
 32611549   33.389    0.000   40.837    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:278(__init__)
  8147292   17.302    0.000   39.785    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:3955(_get_indexer)
 16439754   11.893    0.000   38.865    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:2765(check_dict_or_set_indexers)
 12197750    6.797    0.000   38.362    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/frame.py:678(_constructor_sliced_from_mgr)
  4025540   13.511    0.000   38.276    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/groupby/ops.py:1180(_chop)
  8134313   12.282    0.000   37.338    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:1146(take)
  8069229   21.774    0.000   36.835    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/dtypes/cast.py:1156(maybe_infer_to_datetimelike)
 20333898    7.955    0.000   36.655    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:339(_from_mgr)
 12218761   26.232    0.000   34.733    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/managers.py:1012(iget)
  4120967    4.879    0.000   31.520    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/internals/blocks.py:1287(take_nd)
154705956   20.776    0.000   30.187    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:909(__len__)
 16116289   13.617    0.000   29.239    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/base.py:836(__iter__)
 12256637    5.893    0.000   28.967    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/_config/config.py:145(_get_option)
  4033706    4.116    0.000   28.134    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:2313(is_unique)
 16467702    8.428    0.000   27.953    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:5552(equals)
 24174251    8.443    0.000   27.492    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexing.py:1667(_validate_integer)
 20322856   19.123    0.000   27.384    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:649(_simple_new)
 12281667    7.125    0.000   26.484    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/generic.py:807(_set_axis)
  8084400   15.015    0.000   26.143    0.000 /Users/raphael/Documents/GitHub/order-batching/.venv/lib/python3.12/site-packages/pandas/core/indexes/base.py:2744(inferred_type)
346532524   25.072    0.000   25.091    0.000 {built-in method builtins.getattr}
